dataset_id,var1,var2,family,rotation,parameters,npars,model_tau,empirical_kendall_tau,empirical_spearman_rho,empirical_lower_tail_q05,empirical_upper_tail_q05,loglik,aic,bic,n_obs,selection_criterion,model_file,status,error
sachs,Erk,Jnk,indep,0,[],0.0,0.0,-0.014102102893917393,-0.021271154264334617,0.023446658851113713,0.0,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Erk__Jnk.json,ok,
sachs,Akt,PKA,clayton,180,[[0.6370477638380263]],1.0,0.24157611878476207,0.18188379110320305,0.27978828271014283,0.1406799531066823,0.39859320046893315,90.30388961385486,-178.60777922770973,-173.85901968021804,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Akt__PKA.json,ok,
sachs,Akt,PKC,indep,0,[],0.0,0.0,0.014253883403003886,0.021114622084723693,0.046893317702227426,0.046893317702227426,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Akt__PKC.json,ok,
sachs,Akt,P38,indep,0,[],0.0,0.0,-0.011553133833852333,-0.017428171753977886,0.11723329425556858,0.023446658851113713,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Akt__P38.json,ok,
sachs,Akt,Jnk,indep,0,[],0.0,0.0,-0.008631633732127183,-0.01270009442921679,0.046893317702227426,0.046893317702227426,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Akt__Jnk.json,ok,
sachs,PKA,PKC,indep,0,[],0.0,0.0,0.017617558752653754,0.025548845480076306,0.07033997655334115,0.09378663540445485,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PKA__PKC.json,ok,
sachs,PKA,P38,indep,0,[],0.0,0.0,0.01868057716557113,0.026780928007316563,0.046893317702227426,0.07033997655334115,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PKA__P38.json,ok,
sachs,PKA,Jnk,indep,0,[],0.0,0.0,-0.010241496790432292,-0.015205196707220899,0.09378663540445485,0.023446658851113713,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PKA__Jnk.json,ok,
sachs,PKC,P38,student,0,"[[0.7399295455604886], [2.388570744580467]]",2.0,0.5302823808839656,0.5483394125466923,0.689547341149998,0.16412661195779601,0.5861664712778428,369.6146727882093,-735.2293455764186,-725.7318264814353,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PKC__P38.json,ok,
sachs,PKC,Jnk,frank,0,[[-1.2804252447032785]],1.0,-0.14000000977468874,-0.1012851170189287,-0.20046544787644072,0.21101992966002342,0.07033997655334115,18.035236390303282,-34.070472780606565,-29.321713233114885,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PKC__Jnk.json,ok,
sachs,P38,Jnk,indep,0,[],0.0,0.0,-0.014967322862984574,-0.061048506356066026,0.09378663540445485,0.09378663540445485,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\P38__Jnk.json,ok,
